sector_y,total_Gg,total_mi,coef_direct,coef_indirect,coef_total
"74-75 Other professional, scientific and technical activities; veterinary activities",0.0355,9.559,0.0037137775917983054,0.1173465211307418,0.12106029872254011
77 Rental and leasing activities,0.1311,16.354,0.008016387428152133,0.4104372775682666,0.41845366499641873
78 Employment activities,0.026600000000000002,7.279,0.00365434812474241,0.052680938575655346,0.05633528670039776
"79 Travel agency, tour operator and other reservation service and related activities",0.0299,15.038,0.001988296315999468,0.028681999929386477,0.030670296245385944
80-82 Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a ,0.26789999999999997,44.604,0.006006187785848802,0.4777189666721721,0.48372515445802095
84 Public administration and defence; compulsory social security,4.4396,91.823,0.048349542053733825,0.03588597929741811,0.08423552135115193
85 Education,0.5887,68.151,0.008638171120012913,0.06389871140990334,0.07253688252991626
86 Human health activities,1.1924000000000001,88.858,0.013419163159197823,0.03777122183486503,0.05119038499406286
87-88 Social work activities,0.1965,25.711,0.007642643226634515,0.00023433360141478666,0.007876976828049302
"90-92 Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",0.1012,21.045,0.004808743169398906,0.014988359423544265,0.01979710259294317
93 Sports activities and amusement and recreation activities,0.3256,20.309,0.01603230095031759,0.03316465023715011,0.0491969511874677
94 Activities of membership organisations,1.1438,16.91,0.06764044943820224,0.06894477273818908,0.13658522217639132
95 Repair of computers and personal and household goods,0.0128,2.484,0.0051529790660225444,0.02281264767929824,0.027965626745320785
96 Other personal service activities,0.3044,13.01,0.02339738662567256,0.020101858634560113,0.043499245260232675
97-98 Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0002,9.819,2.036867298095529e-05,-2.036867298095529e-05,0.0
99 Activities of extraterritorial organisations and bodies,,0.0,,,0.0
